exp,sub,age,age.group,condition,physical,emotion,location
1,1,3.021666667,3,1,0,0,in-lab
1,2,3.025,3,1,0,1,in-lab
1,3,3.074166667,3,2,0,0,in-lab
1,4,3.25,3,2,0,0,in-lab
1,5,3.344166667,3,2,0,0,in-lab
1,6,3.365833333,3,1,1,0,in-lab
1,7,3.38,3,2,0,0,in-lab
1,8,3.430833333,3,1,0,0,in-lab
1,9,3.444166667,3,1,1,0,in-lab
1,10,3.4825,3,2,0,0,in-lab
1,11,3.485,3,1,0,0,in-lab
1,12,3.493333333,3,2,0,0,in-lab
1,13,3.568333333,3,1,0,0,in-lab
1,14,3.6575,3,2,0,0,in-lab
1,15,3.696666667,3,1,0,0,in-lab
1,16,3.799166667,3,2,0,0,in-lab
1,17,3.788333333,3,1,0,0,online
1,18,3.6775,3,2,1,1,online
1,19,3.1625,3,2,1,1,online
1,20,3.113333333,3,1,0,0,online
1,21,4.025,4,1,0,0,in-lab
1,22,4.06,4,2,0,0,in-lab
1,23,4.079166667,4,2,0,0,in-lab
1,24,4.145833333,4,1,0,0,in-lab
1,25,4.1575,4,1,0,0,in-lab
1,26,4.183333333,4,2,0,0,in-lab
1,27,4.235,4,1,1,1,in-lab
1,28,4.248333333,4,2,0,0,in-lab
1,29,4.318333333,4,1,0,0,in-lab
1,30,4.339166667,4,2,1,1,in-lab
1,31,4.355,4,2,1,1,in-lab
1,32,4.4075,4,1,0,0,in-lab
1,33,4.4075,4,2,0,1,in-lab
1,34,4.43,4,1,0,0,in-lab
1,35,4.4685,4,1,0,0,in-lab
1,36,4.145833333,4,1,0,0,online
1,37,4.401666667,4,2,0,0,online
1,38,4.468333333,4,1,0,0,online
1,39,4.4075,4,2,0,0,online
1,40,4.369166667,4,2,1,1,online
1,41,4.505833333,4.5,1,1,1,in-lab
1,42,4.546666667,4.5,2,0,0,in-lab
1,43,4.576666667,4.5,2,0,0,in-lab
1,44,4.605,4.5,1,1,1,in-lab
1,45,4.635,4.5,1,1,1,in-lab
1,46,4.745833333,4.5,2,1,1,in-lab
1,47,4.9525,4.5,1,0,0,in-lab
1,48,4.7075,4.5,2,1,1,online
1,49,4.976666667,4.5,1,1,1,online
1,50,4.788333333,4.5,2,1,1,online
1,51,4.990833333,4.5,2,1,1,online
1,52,4.565833333,4.5,1,0,0,online
1,53,4.925,4.5,2,0,1,online
1,54,4.535833333,4.5,1,0,0,online
1,55,4.615833333,4.5,1,1,1,online
1,56,4.675,4.5,1,1,1,online
1,57,4.585833333,4.5,2,0,1,online
1,58,4.743333333,4.5,1,0,1,online
1,59,4.790833333,4.5,2,1,1,online
1,60,4.85,4.5,2,1,1,online
1,61,5.013333333,5,2,0,1,in-lab
1,62,5.025,5,1,0,0,in-lab
1,63,5.038333333,5,1,1,1,in-lab
1,64,5.065833333,5,2,0,0,in-lab
1,65,5.358333333,5,1,1,1,in-lab
1,66,5.41,5,1,0,0,in-lab
1,67,5.4525,5,1,1,1,in-lab
1,68,5.474166667,5,1,1,1,in-lab
1,69,5.546666667,5,2,1,1,in-lab
1,70,5.613333333,5,2,1,1,in-lab
1,71,5.626666667,5,1,1,1,in-lab
1,72,5.831666667,5,2,0,0,in-lab
1,73,5.88,5,1,1,1,in-lab
1,74,5.925,5,2,1,1,in-lab
1,75,5.946666667,5,2,1,1,in-lab
1,76,5.899166667,5,2,1,1,online
1,77,5.71,5,1,1,1,online
1,78,5.7525,5,2,1,1,online
1,79,5.793333333,5,2,1,1,online
1,80,5.2325,5,1,1,1,online
2,81,3.035833333,3,2,0,0,in-lab
2,82,3.074166667,3,1,0,0,in-lab
2,83,3.105,3,1,1,1,in-lab
2,84,3.185833333,3,2,0,0,in-lab
2,85,3.243333333,3,1,0,0,in-lab
2,86,3.264166667,3,1,0,0,in-lab
2,87,3.318333333,3,2,0,0,in-lab
2,88,3.463333333,3,1,0,0,in-lab
2,89,3.485,3,1,0,0,in-lab
2,90,3.583333333,3,2,0,0,in-lab
2,91,3.6025,3,1,0,0,in-lab
2,92,3.729166667,3,1,0,0,in-lab
2,93,3.7775,3,1,1,1,in-lab
2,94,3.8475,3,2,0,0,in-lab
2,95,3.855,3,2,1,1,in-lab
2,96,3.9175,3,2,1,1,in-lab
2,97,3.919166667,3,2,0,0,in-lab
2,98,3.925,3,2,0,0,in-lab
2,99,3.6775,3,2,1,1,online
2,100,3.113333333,3,1,0,0,online
2,101,4.046666667,4,1,1,1,in-lab
2,102,4.068333333,4,2,0,0,in-lab
2,103,4.091666667,4,1,0,0,in-lab
2,104,4.1025,4,1,0,0,in-lab
2,105,4.121666667,4,1,0,0,in-lab
2,106,4.1725,4,1,0,0,in-lab
2,107,4.185833333,4,1,1,1,in-lab
2,108,4.264166667,4,2,0,0,in-lab
2,109,4.296666667,4,1,1,0,in-lab
2,110,4.299166667,4,1,1,1,in-lab
2,111,4.3075,4,2,0,0,in-lab
2,112,4.3075,4,2,1,1,in-lab
2,113,4.320833333,4,2,0,0,in-lab
2,114,4.355,4,2,1,1,in-lab
2,115,4.404166667,4,1,0,0,in-lab
2,116,4.145833333,4,2,0,0,in-lab
2,117,4.401666667,4,2,0,0,online
2,118,4.468333333,4,2,0,0,online
2,119,4.425,4,1,0,0,online
2,120,4.41,4,1,1,1,online
2,121,4.495833333,4.5,2,1,0,in-lab
2,122,4.5025,4.5,2,1,1,in-lab
2,123,4.513333333,4.5,1,1,1,in-lab
2,124,4.551666667,4.5,2,0,0,in-lab
2,125,4.619166667,4.5,1,1,1,in-lab
2,126,4.68,4.5,2,1,1,in-lab
2,127,4.688333333,4.5,2,1,1,in-lab
2,128,4.705,4.5,1,0,0,in-lab
2,129,4.708333333,4.5,2,1,1,in-lab
2,130,4.718333333,4.5,2,1,1,in-lab
2,131,4.75,4.5,2,1,1,in-lab
2,132,4.791666667,4.5,1,1,0,in-lab
2,133,4.820833333,4.5,1,1,0,in-lab
2,134,4.824166667,4.5,2,0,0,in-lab
2,135,4.7075,4.5,2,0,0,online
2,136,4.976666667,4.5,1,1,1,online
2,137,4.788333333,4.5,1,1,1,online
2,138,4.990833333,4.5,1,1,1,online
2,139,4.85,4.5,1,1,1,online
2,140,4.979166667,4.5,2,1,1,online
2,141,5.4525,5,1,1,1,in-lab
2,142,5.1325,5,1,1,1,in-lab
2,143,5.4525,5,1,0,0,in-lab
2,144,5.091666667,5,2,1,1,in-lab
2,145,5.2325,5,2,1,1,in-lab
2,146,5.074166667,5,1,1,1,in-lab
2,147,5.3075,5,2,1,1,in-lab
2,148,5.1325,5,2,1,1,in-lab
2,149,5.721666667,5,1,1,0,in-lab
2,150,5.5,5,1,0,0,in-lab
2,151,5.824166667,5,2,1,0,in-lab
2,152,5.344166667,5,2,1,1,in-lab
2,153,5.049166667,5,1,1,1,in-lab
2,154,5.801666667,5,1,1,1,in-lab
2,155,5.71,5,2,1,1,online
2,156,5.7525,5,1,1,1,online
2,157,5.793333333,5,2,1,1,online
2,158,5.513333333,5,1,1,1,online
2,159,5.805,5,2,0,0,online
2,160,5.208333333,5,2,1,1,in-lab
